p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
-2.6268597,1.4503382,0.66741,-1.6455009,-0.11643902,-0.70346755,0.4373094,-0.38317302,-0.5787599,1.2997,0.18072696,0.9627017,-1.5767405
-0.745396,1.1420796,-0.14720777,0.66897345,0.39530474,1.0289787,0.9536144,0.39778924,-1.0051581,1.8616164,0.038153153,1.1538459,-0.85799944
0.6303529,-0.365178,0.8423142,0.6946455,-2.110261,1.3876394,1.5499579,0.949278,-0.9079676,1.8793874,0.31925002,0.8167515,-0.14137363
0.062066924,-0.26495492,-0.83654135,-0.74579877,-1.4728796,0.36777094,2.100252,-0.829751,-0.0018102623,2.568536,0.3049662,0.68784565,-1.3292879
-0.04148067,-0.18002436,-0.5966411,-0.36504087,-1.59713,1.2771975,1.3669997,-1.2674432,0.044316452,2.524482,-0.03757298,0.77800876,-1.7035412
0.7619774,-1.2063949,0.36196902,0.43455726,-1.653274,-0.8903259,1.2053331,-1.210921,-0.35124594,2.5518703,-0.32444322,0.6925741,-0.99210405
-0.0071790083,0.113596715,1.1344757,0.05349174,-0.49253505,0.5617382,0.15092589,-0.23690663,-0.82651573,1.5597718,-0.3971598,-0.17170057,-1.3139154
0.34159127,0.57197106,0.56463045,0.46567667,-0.41941357,0.87790054,0.32447982,0.166606,-0.73270285,1.1908202,-0.89401877,0.27658343,-1.9278597
-3.1518874,-1.2722012,2.094882,-0.29186133,0.5143863,-0.5646391,1.20144,0.39137414,-1.5117929,0.7068145,2.084362,-0.09217715,-0.47749087
-2.4973238,-1.0319723,3.4084587,-0.76664144,1.2974787,-1.0120668,1.1041439,0.0044454574,-0.8329953,1.3187891,0.9073901,0.31798705,-0.1455393
-2.8434985,0.29248455,2.4713871,-1.0186023,1.5694462,0.23149672,0.910372,-0.77192956,-1.3093743,1.4109725,1.3907641,0.06475286,0.46879616
-2.7992284,-0.54278076,2.42433,0.76265556,-0.5411546,-0.38181812,0.48077935,1.4153796,-0.96019167,1.5484349,1.6687353,0.32742152,-0.67880785
-2.2665715,-0.20470434,3.52859,0.25006014,0.2572158,-0.778784,0.37847108,0.928792,-0.31819478,2.14609,0.6756001,0.49389884,-0.31142205
