p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
-0.31813517,-0.09231704,1.9495854,-0.09373781,0.56555086,-0.5470339,-0.7420737,-0.061402805,0.27034542
-1.3563709,-0.15602084,1.3771586,1.0561312,0.3369636,0.19738017,-1.4585184,0.78359586,0.17347986
-3.0689886,-0.4199252,0.98793644,0.66565895,1.1559932,-0.08323655,-0.8881883,0.3525084,0.12693444
-1.5953615,-0.5357921,1.023149,-1.4900309,1.1635828,1.0500466,1.31515,2.1657417,0.42644912
0.005586632,-0.4856497,2.438784,0.12150294,-0.8542081,1.2213852,-0.17739421,-0.1889698,-0.87134105
-1.260151,0.3391203,2.6603608,0.46530837,-0.9621383,1.8134624,0.38711503,-0.99194187,-0.33451137
-0.46199653,-0.25120273,2.5550253,0.804243,-0.97948104,1.4885852,-1.3559319,-0.64613205,-0.13115464
0.026207535,1.4978548,1.2243292,2.582853,1.4526043,2.468646,0.12355798,-1.6176118,-1.2921807
-0.200294,1.5042362,1.1631186,2.6571476,1.5695363,2.4729,-0.08322393,-1.0332924,-1.6178118
0.0051329965,1.5233082,1.812679,0.5587546,0.16669196,1.5533398,0.5559335,-0.268563,0.23043998
0.0013533704,1.3332645,2.7540116,0.95503384,-0.5909922,1.4288889,0.19593962,-1.030067,0.2740505
0.3933067,1.7224337,2.2339404,0.6269316,0.7821446,1.6093578,1.0600717,0.38309154,0.37784728
0.26091605,1.3717185,3.2338505,1.6596311,-0.30804074,1.5822396,0.41793588,-0.31134254,0.78724045
-0.119013734,1.9738121,1.9248835,0.98374236,0.36336535,1.7417562,0.60045546,-0.008541305,0.55325127
0.120599665,0.90311795,2.4748125,1.1011779,-0.67744666,1.2860748,-0.37824616,-0.46436054,0.59026843
-0.4491698,0.54174453,1.1329418,1.5084662,1.7845113,2.2202873,0.5674982,-1.8336463,0.17720038
-0.5238452,0.22178285,2.4009871,1.3588796,0.5538674,1.7029405,0.0080583105,-2.6911476,0.62090683
0.048062105,2.096122,2.617965,0.15788198,0.17562048,1.0850525,-0.6558195,0.5668332,0.5740684
0.029981615,1.6776341,2.2251697,0.42680308,0.26669428,1.0922132,-0.053501707,-0.07812377,0.5527396
-2.412901,0.46980578,3.3812826,0.92915285,-0.8874018,-1.3064108,-0.6788714,-0.88705266,0.35825294
-0.32172534,0.77844423,0.8565075,0.8051671,0.7600194,1.5346859,-0.018114593,-0.762334,-0.44902408
-0.34497508,0.92620254,1.3204397,1.2391195,0.84703463,1.8353945,-0.1154659,-0.67559534,-0.11215653
-0.39598963,0.84556586,1.0995766,0.81808215,0.7222379,1.464984,-0.05550993,-0.43167943,-0.38156262
-0.47400367,0.9722154,1.2114445,1.313352,1.0555174,2.0426662,0.070887454,-0.68625915,-0.36468714
-0.40619248,0.8341196,1.003537,1.045486,0.82889205,1.6287136,-0.117521,-0.4542943,-0.2497719
-0.3357531,0.92174095,1.059661,1.037665,0.98460394,1.7652375,-0.1326311,-0.86527216,-0.38532072
-0.46299765,0.6745225,1.245339,0.98765,0.8745412,1.7676531,-0.0672993,-0.90187854,-0.5644949
-0.65555596,1.0816854,0.9265465,0.950472,0.8596293,1.7799116,-0.09976986,-0.72572756,-0.30079886
-0.24919528,1.3493208,1.3799065,0.6604887,1.2879506,0.9053984,-0.63165486,2.453239,-1.1780587
0.384421,2.1208172,1.2816951,1.1861577,1.2961584,1.7148794,-0.03025394,2.4770555,-0.6998254
-1.8394333,-1.7101567,1.5083448,-0.45021808,1.7476928,1.4735633,1.1772662,2.9153187,-0.56649405
-0.78126085,-0.18796913,1.116417,0.016956031,0.7948645,-0.62930954,-0.4453276,0.24543767,-0.09705688
-0.68609744,0.82912034,1.9499294,0.5929804,0.44742447,0.0033583613,-0.24039325,0.4327745,0.697171
-0.31391844,1.226276,1.2999814,0.2990029,0.7479989,-0.61853546,-0.44730556,0.29429477,0.22691312
-2.0024881,0.53748727,0.9750522,-0.6588439,-0.4418639,-0.7867057,-0.34558678,0.22215053,0.62859213
-2.210398,0.75838774,1.5264908,-0.7519627,-0.29492834,0.51326597,0.105760604,0.114181444,1.3364372
-0.8736195,0.32920387,1.1498607,-1.2913384,0.53250635,1.0296726,-0.68294287,1.3382401,0.76338947
0.25760102,0.43960908,4.3189044,-1.7744621,-1.9143766,1.2330844,2.8622465,2.1962016,1.2983097
-1.7287575,0.79964614,1.1542906,-1.1737255,-0.40513006,2.1732135,-1.9628588,3.325312,1.0014706
